Trening;Sredni blad;Wynik walidacji
1;43.580299;60.714287
1;35.817291;73.214287
1;39.774677;64.285713
1;36.531319;66.071426
1;34.254757;75.000000
1;24.979845;67.857140
1;25.842300;71.428574
1;22.940340;69.642860
1;20.452761;75.000000
1;11.160116;67.857140
1;12.224810;85.714287
1;7.965504;80.357140
1;8.421196;82.142860
1;13.009236;91.071426
Zdane testy; 95.454544
